Seagrass,E_Corallinophycidae,B_Hyphomonadaceae,B_Desulfobulbaceae,B_Kiloniellaceae,B_Flavobacteriaceae,B_Crocinitomicaceae,B_Marinilabiliaceae,B_BD7_8_other,B_bacterium_enrichment_culture_clone_22(2013),E_Novel Clade Gran-1,E_Diatomea,B_Unknown Family
1,0,0.073188583,7.64820688,0.195169554,7.318858258,0.182971456,0.08538668,0,0,0,4.478323011,3.40326909
1,0,0,8.920563741,0.128122998,6.69442665,0,0.240230621,0,0.192184497,0,3.796985308,3.02690583
0,0,0,6.997682296,0.267427349,2.870386878,0,0.240684614,0.115885185,0.187199144,0,4.609410176,2.192904261
0,0,0,5.126625599,0.260095825,2.8678987,0,0.410677618,0,0.171115674,0,5.420303169,2.737850787
0,0,0,7.180096954,0.320131711,4.582456782,0.091466203,0.493917497,0,0.265251989,0,4.363071971,2.652519894
0,0,0,6.603915663,0.346385542,4.442771084,0,0.30873494,0,0.165662651,0,1.482785784,1.987951807
0,0,0,7.657498409,0.190907163,4.320158382,0,0.098988899,0.070706357,0.304037333,0,3.960168869,2.700982818
0,0,0,7.420445917,0.276109616,5.142541589,0,0.303720577,0,0.207082212,0,1.48434979,2.726582453
1,7.265258216,0.330730363,3.536977492,0.367478181,17.44602664,0.339917317,0.119430409,0.358291226,0.082682591,0,18.63262911,0.964630225
1,31.03150315,0.484205672,2.674659903,0,17.15471524,0.184459304,0.069172239,0.276688955,0.115287065,0.079207921,22.67146715,0.161401891
1,1.594867911,0.510663863,4.135375989,0.170221288,17.32251928,0.230299389,0.110143186,0.340442575,0,0.022274691,9.858778456,1.56203064
1,0.145952622,0.846042525,2.816431036,0.356228431,23.09918735,0.489814093,0,0.434153401,0,0,7.651285506,1.424913726
1,0.469804048,0.550990817,3.692605123,0.318994683,17.08071532,0.328661189,0,1.246979217,0,0.016061677,11.57645358,1.159980667
1,0.252374777,0,10.02400274,0.571493885,5.71493885,0,1.851640187,0.125728655,0.068579266,0,10.64881349,0.582923763
0,0.018273184,0.151886903,6.297464657,0.981423063,20.32947774,0.303773805,0.327141021,0.72438369,0,0,19.05283996,1.261829653
0,0.149418056,0,3.809641228,1.750708914,13.06867217,0.406854888,0.135618296,1.023301689,0,0.13368984,20.71012897,1.220564665
0,0.072595281,0.170619348,4.299607575,1.262583177,13.68367173,0.221805153,0.272990957,1.023716089,0,0.127041742,28.1246219,2.064494114
0,0.123654683,0,4.82809071,2.048280907,9.692757864,0.109729334,0,1.426481346,0,0.184718724,25.66063659,1.024140454
0,0.061073006,0,4.491017964,1.767892786,10.66438551,0.313658397,0,1.140575991,0.099800399,0.108052241,22.14601146,1.596806387
0,0.072500853,0.049751244,2.748756219,1.865671642,11.60447761,0.174129353,0,1.778606965,0,0.298532924,31.80655067,0.746268657
