target,E_D_4_Corallinophycidae,B_D_4_Hyphomonadaceae,B_D_4_Defluviitaleaceae,B_D_4_Desulfobulbaceae,E_D_4_Novel_Apicomplexa_Class_1,E_D_4_Rhodymeniophycidae,B_D_4_Kiloniellaceae,B_D_4_Pirellulaceae,B_D_4_Flavobacteriaceae,E_D_4_Intramacronucleata,B_D_4_Crocinitomicaceae,B_D_4_Marinilabiliaceae,B_D_3_BD7_8_other,B_D_4_uncultured_Aminicenantes_bacterium,B_D_4_Erysipelotrichaceae,B_D_4_bacterium_enrichment_culture_clone_22(2013),B_D_4_Clostridiaceae_1
0,0.033419269,0,0,6.425120773,2.091091378,0,0.20531401,2.934782609,16.61835749,0.749546453,0,1.15942029,0.132850242,0,0,0.422705314,0.157004831
0,0,0,0,7.264380232,1.375626228,0,0.108020524,4.226302998,17.08074534,0.683661325,0,0.850661626,0,0,0,0.594112881,0.216041048
0,0,0,0,6.214331008,0.650329599,0,0,5.313887127,15.97970831,1.217889976,0,0.97653773,0.266328472,0,0,0.608750793,0
0,0.075510878,0,0,6.925486686,0.858936241,0,0,4.419333184,14.22018349,1.236490632,0,1.734168718,0,0,0,0.324457373,0.123070038
1,1.081252981,0,0,4.953198128,5.024646208,0,0.507020281,11.17394696,8.560842434,0.874542853,0.13650546,0.23400936,0,0,0,0,0
1,0.496238194,0,0,6.977640709,7.435569073,0.024011526,1.156515035,9.425597533,12.20123362,0.192092204,0.231303007,0.173477255,0,0,0,0.077101002,0
1,0.348652932,0,0,8.728354032,1.622820919,0,0.892076264,8.5884205,11.75441665,0.678288431,0.209900297,0.454783978,0,0,0,0.104950149,0
1,0.453103761,0,0,8.802011888,1.939284096,0,1.806127115,9.487882945,4.641060814,1.449932034,0,0.434385002,0,0,0,0,0.228623685
1,0.251335218,0,0,7.151741294,4.029217719,0,0.704809287,7.960199005,11.00746269,0.777568332,0.248756219,0.310945274,0,0,0,0.186567164,0.207296849
1,0.431531565,0,0,7.018195321,8.385104721,0,0.556999629,7.05532863,10.91719272,0.781220937,0,0,0,0,0,0.222799851,0.222799851
0,0,0,0,5.138523448,1.32997019,0,2.213279678,11.99504721,6.624361554,2.705801422,0,0,0,0,0,0,0
0,0.016762352,0,0,5.128205128,2.749025688,0,1.13960114,12.39316239,10.45584046,0.754305829,0,0,0,0,0,0,0
0,0,0,0,5.396825397,2.764503772,0,2.031746032,11.32275132,5.650793651,1.1097508,0,0,0.105820106,0,0,0.169312169,0
0,0.020594141,0,0,4.136310223,0.571487412,0.036039747,1.104582844,10.34077556,7.614571093,2.579416156,0.164512338,0,0,0,0,0,0
0,0.061157404,0,0,4.307768924,2.645057717,0,1.917330677,12.20119522,8.540836653,2.392783426,0,0,0,0,0,0,0
0,0.025254651,0,0,4.50928382,1.683643404,0,1.591511936,11.45888594,7.904509284,1.01860426,0,0,0.557029178,0,0,0,0
1,0,0.112403333,0.062945867,7.865235897,3.159513312,0,0.011989689,8.124512919,6.924045321,4.34560686,0.047958755,0.218811822,0.034470355,0.070439422,0.374677777,0.349199688,1.004136443
1,0,0.245255422,0,8.535780537,2.767988253,0,1.167415811,3.928545947,3.273936929,0.022026432,0,0.15696347,0.205122717,0.010702055,0.133775685,0.129316495,0.832976598
1,0,0.162858798,0.062637999,4.195180006,0.36276552,0,0.350772796,5.75016834,7.280101474,2.178954876,0.073599649,0.593495044,0.139369549,0.067335849,0.469784995,0.360168496,0.656133043
1,0,0.083399876,0.01951912,4.656197321,2.255363084,0,0.17922101,7.15996806,6.737645284,4.149363313,0.149055097,0.424097241,0.129535977,0.086948807,0.251974093,0.370863277,0.397480259
1,0,0.054430655,0.047626823,6.034998911,0.925209388,0,0.14288047,9.694099717,5.198127585,0.411584635,0.032658393,0.261267146,0.03401916,0.066677553,0.627313303,0.541585021,0.597376442
1,0,0.07789731,0.056408397,4.700699733,1.613410669,0,0.397544892,7.926722806,4.718159475,0,0.02283197,0.210859959,0.136991821,0.128933478,0.382771264,0.443208832,0.290100326
0,0,0.106080063,0,3.885880185,0.482708116,0,0.98104118,5.099021352,3.502237252,6.942539168,0,0.449045678,0.287931598,0.181053941,0.086937796,0.225719231,0.293514759
0,0.048479506,0.061615039,0.016913932,3.69327792,0.114587924,0,0.659643358,9.024790992,3.340501619,2.480167475,0.064031315,0.577489972,0.273039192,0.045909245,0.260957812,0.257333398,0.14014401
0,0.07668918,0.037290573,0.017313481,3.842260874,1.181282458,0,0.482113843,11.10460006,3.396105799,3.921911579,0.022640705,0.40620089,0.396878246,0.043949604,0.110539914,0.278347495,0.138507844
0,0.028067191,0.032324683,0.016162342,4.48235611,0.871783968,0.011907293,0.235251863,11.50399569,3.455149502,1.90091431,0.035916315,0.678818353,0.217293706,0.061057735,0.175989943,0.355571518,0.246026758
0,0.507443945,0.021024809,0.051060251,3.683846939,0.600331989,0.239100706,0.421997958,11.43148916,2.007869286,3.828191521,0.025530126,0.569171623,0.213251637,0.069081516,0.205742776,0.298852646,0.316873911
0,1.044012485,0.056185265,0.059849521,4.294508501,0.592627711,0,0.483681845,8.061364081,1.976255619,1.874678993,0.028092632,0.683994528,0.310240375,0.019542701,0.195427008,0.175884307,0.543531366
1,0,0,0,9.234234234,0.317596042,0.574115923,0,3.528528529,4.804804805,0.476394063,0,0.075075075,0,0.103228228,0.084459459,0.356606607,0.093843844
1,0,0,0,8.445617447,1.541291702,1.47168498,0.097235727,4.486734269,3.180997361,0.258539253,0,0.055563273,0.138908182,0,0,0.277816363,0.083344909
1,0,0,0,9.003696532,0.355495772,1.479631053,0.061608872,4.497447632,3.485301883,1.301883167,0.105615209,0.140820278,0,0.176025348,0.061608872,0.360851963,0.096813941
1,0,0.066287879,0,8.267045455,0.715400624,0.745750954,0.123106061,5.378787879,4.195075758,0.403225806,0.104166667,0,0,0.151515152,0.028409091,0.331439394,0.179924242
1,0,0,0,9.249193137,1.509907198,0.556809631,0.169865806,5.053507729,3.337863088,0.155505393,0,0.025479871,0.084932903,0.161372516,0,0.314251741,0.254798709
1,0,0,0,8.353566507,0.505615464,0.997807508,0,5.118446092,3.392611064,0.948588304,0,0.039372662,0,0.17717698,0.065621104,0.255922305,0.118117987
0,0,0,0,6.675609564,0.057827981,0.015420795,0.118361872,4.58454983,6.202162077,0.751763753,0.071017123,0.134143455,0,0,0,0.181488203,0.355085615
0,0,0,0,9.239048052,0.772897514,0.034048349,0.174321661,6.64696074,4.865848113,0.817160368,0.083371229,0.151584053,0,0,0,0.250113688,0.394118539
0,0,0,0,6.691297209,0.857205336,0,0.174466338,3.581691297,2.473316913,0.459217144,0,0,0,0.164203612,0,0.369458128,0.153940887
0,0,0,0,8.37516267,0.406131272,0,0.092954081,6.367354527,2.593418851,0.799161535,0,0.195203569,0,0,0,0.408997955,0.083658673
0,0,0,0,6.81955341,0.395968323,0,0.229330115,5.733252867,2.196741098,1.036717063,0,0.036210018,0,0,0.06035003,0.374170187,0.108630054
0,0,0,0,7.562620424,0.607966457,0,0.216763006,4.648362235,2.9022158,0.384346611,0,0.15655106,0,0,0,0.349229287,0.385356455
1,0,0,0,6.804733728,0.46394889,0,0.164365549,5.610344072,4.76660092,0.585640402,0.076703923,0.164365549,0,0,0,0.109577033,0.131492439
1,0,0,0.06887843,7.438870394,0.703762168,0,0.114797383,4.385260016,5.797267822,0.289397527,0,0.137756859,0,0,0,0.321432671,0.114797383
