yyyy,mm,dd,areaNo.,flag,Temp.
1983,5,25,319,R,15.9
1983,5,26,319,R,16.02
1983,5,27,319,R,16.19
1983,5,28,319,R,16.38
1983,5,29,319,R,16.57
1983,5,30,319,R,16.72
1983,5,31,319,R,16.85
1983,6,1,319,R,16.96
1983,6,2,319,R,17.08
1983,6,3,319,R,17.2
1983,6,4,319,R,17.3
1983,6,5,319,R,17.39
1983,6,6,319,R,17.49
1983,6,7,319,R,17.57
1983,6,8,319,R,17.6
1983,6,9,319,R,17.6
1983,6,10,319,R,17.58
1983,6,11,319,R,17.6
1983,6,12,319,R,17.62
1983,6,13,319,R,17.62
1983,6,14,319,R,17.62
1983,6,15,319,R,17.64
1983,6,16,319,R,17.68
1983,6,17,319,R,17.74
1983,6,18,319,R,17.8
1983,6,19,319,R,17.86
1983,6,20,319,R,17.94
1983,6,21,319,R,18.35
1983,6,22,319,R,19.24
1983,6,23,319,R,19.91
1983,6,24,319,R,20.05
1983,6,25,319,R,20.04
1983,6,26,319,R,20.05
1983,6,27,319,R,20.09
1983,6,28,319,R,20.14
1983,6,29,319,R,20.21
1983,6,30,319,R,20.25
1983,7,1,319,R,20.31
1983,7,2,319,R,20.4
1983,7,3,319,R,20.56
1983,7,4,319,R,20.69
1983,7,5,319,R,20.8
1983,7,6,319,R,21.01
1983,7,7,319,R,21.31
1983,7,8,319,R,21.54
1983,7,9,319,R,21.71
1983,7,10,319,R,21.88
1983,7,11,319,R,22.04
1983,7,12,319,R,22.16
1983,7,13,319,R,22.24
1983,7,14,319,R,22.31
1983,7,15,319,R,22.32
1983,7,16,319,R,22.32
1983,7,17,319,R,22.34
1983,7,18,319,R,22.4
1983,7,19,319,R,22.47
1983,7,20,319,R,22.56
1983,7,21,319,R,22.74
1983,7,22,319,R,22.89
1983,7,23,319,R,22.96
1983,7,24,319,R,23
1983,7,25,319,R,23.2
1983,7,26,319,R,23.56
1983,7,27,319,R,23.73
1983,7,28,319,R,23.77
1983,7,29,319,R,23.8
1983,7,30,319,R,23.84
1983,7,31,319,R,23.93
1983,8,1,319,R,24.14
1983,8,2,319,R,24.47
1983,8,3,319,R,24.81
1983,8,4,319,R,25.18
1983,8,5,319,R,25.58
1983,8,6,319,R,25.93
1983,8,7,319,R,26.24
1983,8,8,319,R,26.54
1983,8,9,319,R,26.83
1983,8,10,319,R,27.04
1983,8,11,319,R,27.14
1983,8,12,319,R,27.12
1983,8,13,319,R,27
1983,8,14,319,R,26.85
1983,8,15,319,R,26.75
1983,8,16,319,R,26.7
1983,8,17,319,R,26.69
1983,8,18,319,R,26.59
1983,8,19,319,R,26.29
1983,8,20,319,R,26.03
1983,8,21,319,R,25.9
1983,8,22,319,R,25.79
1983,8,23,319,R,25.6
1983,8,24,319,R,25.46
1983,8,25,319,R,25.38
1983,8,26,319,R,25.32
1983,8,27,319,R,25.32
1983,8,28,319,R,25.38
1983,8,29,319,R,25.5
1983,8,30,319,R,25.64
1983,8,31,319,R,25.83
1983,9,1,319,R,26.09
1983,9,2,319,R,26.41
1983,9,3,319,R,26.79
