yyyy,mm,dd,areaNo.,flag,Temp.
2017,6,3,508,P,18.65
2017,6,4,508,P,18.78
2017,6,5,508,P,18.84
2017,6,6,508,P,18.97
2017,6,7,508,P,19.11
2017,6,8,508,P,19.07
2017,6,9,508,P,19.12
2017,6,10,508,P,19.05
2017,6,11,508,P,19.2
2017,6,12,508,P,19.11
2017,6,13,508,P,18.79
2017,6,14,508,P,18.71
2017,6,15,508,P,19.24
2017,6,16,508,P,19.62
2017,6,17,508,P,19.65
2017,6,18,508,P,20.19
2017,6,19,508,P,20.35
2017,6,20,508,P,20.57
2017,6,21,508,P,20.53
2017,6,22,508,P,20.4
2017,6,23,508,P,20.3
2017,6,24,508,P,20.33
2017,6,25,508,P,20.48
2017,6,26,508,P,20.38
2017,6,27,508,P,20.45
2017,6,28,508,P,21.14
2017,6,29,508,P,21.67
2017,6,30,508,P,22
2017,7,1,508,P,22.67
2017,7,2,508,P,22.96
2017,7,3,508,P,23.25
2017,7,4,508,P,23.25
2017,7,5,508,P,23.3
2017,7,6,508,P,23.31
2017,7,7,508,P,23.27
2017,7,8,508,P,23.28
2017,7,9,508,P,23.32
2017,7,10,508,P,23.46
2017,7,11,508,P,24.25
2017,7,12,508,P,24.76
2017,7,13,508,P,24.96
2017,7,14,508,P,25.09
2017,7,15,508,P,24.97
2017,7,16,508,P,24.78
2017,7,17,508,P,24.82
2017,7,18,508,P,24.86
2017,7,19,508,P,25.24
2017,7,20,508,P,25.4
2017,7,21,508,P,25.59
2017,7,22,508,P,25.63
2017,7,23,508,P,25.61
2017,7,24,508,P,25.54
2017,7,25,508,P,25.31
2017,7,26,508,P,25.11
2017,7,27,508,P,25.07
2017,7,28,508,P,25.24
2017,7,29,508,P,25.4
2017,7,30,508,P,26.17
2017,7,31,508,P,26.45
2017,8,1,508,P,26.83
2017,8,2,508,P,26.77
2017,8,3,508,P,26.53
2017,8,4,508,P,26.3
2017,8,5,508,P,26.24
2017,8,6,508,P,26.25
2017,8,7,508,P,26.04
2017,8,8,508,P,25.91
2017,8,9,508,P,25.83
2017,8,10,508,P,25.86
2017,8,11,508,P,25.82
2017,8,12,508,P,25.72
2017,8,13,508,P,25.63
2017,8,14,508,P,25.54
2017,8,15,508,P,25.45
2017,8,16,508,P,25.62
2017,8,17,508,P,25.91
2017,8,18,508,P,26.12
2017,8,19,508,P,26.25
2017,8,20,508,P,26.31
2017,8,21,508,P,26.3
2017,8,22,508,P,26.38
2017,8,23,508,P,26.55
2017,8,24,508,P,26.85
2017,8,25,508,P,26.93
2017,8,26,508,P,27.01
2017,8,27,508,P,26.4
2017,8,28,508,P,26.23
2017,8,29,508,P,26.39
2017,8,30,508,P,26.69
2017,8,31,508,P,26.65
2017,9,1,508,P,26.36
2017,9,2,508,P,26.02
2017,9,3,508,P,25.79
2017,9,4,508,P,25.61
2017,9,5,508,P,25.52
2017,9,6,508,P,25.64
2017,9,7,508,P,25.66
2017,9,8,508,P,25.32
2017,9,9,508,P,25.08
2017,9,10,508,P,25.03
2017,9,11,508,P,24.85
2017,9,12,508,P,24.73
2017,9,13,508,P,24.65
2017,9,14,508,P,24.65
2017,9,15,508,P,24.58
2017,9,16,508,P,24.53
2017,9,17,508,P,24.42
2017,9,18,508,P,24.17
2017,9,19,508,P,24.03
2017,9,20,508,P,23.9
2017,9,21,508,P,23.78
2017,9,22,508,P,23.69
2017,9,23,508,P,23.59
2017,9,24,508,P,23.42
2017,9,25,508,P,23.76
2017,9,26,508,P,24.14
2017,9,27,508,P,24.2
2017,9,28,508,P,24.28
2017,9,29,508,P,24.1
2017,9,30,508,P,23.97
2017,10,1,508,P,23.86
2017,10,2,508,P,23.77
2017,10,3,508,P,23.54
2017,10,4,508,P,23.52
2017,10,5,508,P,23.5
2017,10,6,508,P,23.43
2017,10,7,508,P,23.31
2017,10,8,508,P,23.55
2017,10,9,508,P,23.66
2017,10,10,508,P,23.92
2017,10,11,508,P,24.01
2017,10,12,508,P,23.92
2017,10,13,508,P,23.77
2017,10,14,508,P,23.54
2017,10,15,508,P,23.21
2017,10,16,508,P,23.01
2017,10,17,508,P,23.1
2017,10,18,508,P,23.01
2017,10,19,508,P,23.09
2017,10,20,508,P,22.9
2017,10,21,508,P,22.78
2017,10,22,508,P,22.73
2017,10,23,508,P,22.05
2017,10,24,508,P,21.68
2017,10,25,508,P,21.48
2017,10,26,508,P,21.43
2017,10,27,508,P,21.46
2017,10,28,508,P,21.45
2017,10,29,508,P,21.32
2017,10,30,508,P,20.92
2017,10,31,508,P,20.75
2017,11,1,508,P,20.74
2017,11,2,508,P,20.78
2017,11,3,508,P,20.91
2017,11,4,508,P,20.8
2017,11,5,508,P,20.64
2017,11,6,508,P,20.6
2017,11,7,508,P,20.56
2017,11,8,508,P,20.53
2017,11,9,508,P,20.3
2017,11,10,508,P,20.2
2017,11,11,508,P,20.14
2017,11,12,508,P,20.07
2017,11,13,508,P,20.07
2017,11,14,508,P,19.96
2017,11,15,508,P,19.89
2017,11,16,508,P,19.82
2017,11,17,508,P,19.69
2017,11,18,508,P,19.53
2017,11,19,508,P,19.26
2017,11,20,508,P,19.02
2017,11,21,508,P,18.91
2017,11,22,508,P,18.83
2017,11,23,508,P,18.67
2017,11,24,508,P,18.43
2017,11,25,508,P,18.28
2017,11,26,508,P,18.1
2017,11,27,508,P,18.2
2017,11,28,508,P,18.21
2017,11,29,508,P,18.13
2017,11,30,508,P,18.01
2017,12,1,508,P,17.62
2017,12,2,508,P,17.46
2017,12,3,508,P,17.48
2017,12,4,508,P,17.51
2017,12,5,508,P,17.48
2017,12,6,508,P,17.4
2017,12,7,508,P,17.19
2017,12,8,508,P,17.07
2017,12,9,508,P,16.91
2017,12,10,508,P,16.74
2017,12,11,508,P,16.58
2017,12,12,508,P,16.2
2017,12,13,508,P,15.89
2017,12,14,508,P,15.52
2017,12,15,508,P,15.2
2017,12,16,508,P,15.03
2017,12,17,508,P,14.92
2017,12,18,508,P,14.82
2017,12,19,508,P,14.7
